sugar	etanol
-0.000276967	-0.008003244
-0.002774367	-0.010500904
0.000277833	-0.007744078
0.003742426	0.00449072
-0.00193879	-0.004899969
0.004287966	-0.005747142
-0.004565187	-0.006608863
0.000554491	-0.00415283
0.004424772	-0.009617469
0.000827445	-0.00210305
-0.00124152	-0.010582109
0.000414076	-0.008976337
-0.000138006	-0.000859107
0.000689648	-0.009065462
0.003029068	-0.014413877
-0.002201983	-0.002643173
0.003713076	0.004840493
-0.005781927	-0.02444023
0.000414093	-0.019532758
0.000276031	-0.050810552
0.004405293	-0.001448926
-0.001099533	0.001931435
-0.001376056	-0.017518696
-0.001791814	0.001961747
-0.002486189	-0.010342372
-0.005129938	-0.024556483
-0.002923354	-0.017400644
-0.008540479	-0.044874248
-0.004933494	-0.037968797
-0.017532999	-0.027866461
0.006593101	-0.033424396
-0.010916541	0.007722046
0.003460283	0
-0.001584444	0.010594566
-0.002309194	-0.005872007
0.000288992	0.01461587
0.000288807	0.000580215
-0.008993432	-0.006400953
-0.008340074	-0.018262658
0.002054881	0.0059277
0.003805098	-0.059037525
-0.013233556	-0.019627094
-0.006236086	0.010178205
-0.004179081	0.00315956
0.003583118	0.039584636
0.001340443	0.023375353
-0.007919324	0.053630608
0.012522465	0.043938973
-0.001185918	0.049787594
0.008860055	-0.008213599
-0.004863247	0.000515331
-0.004738629	-0.017147731
-0.001485532	-0.030329539
-0.0047683	-0.033510414
-0.010510562	-0.040472893
-0.002872075	-0.0289191
-0.012950574	-0.023630303
-0.038454238	-0.019189694
-0.005112649	-0.003129893
-0.008364212	0.009981368
-0.061624573	-0.004354595
-0.008280175	-0.011916102
-0.006429755	-0.002526849
-0.041105369	-0.004437408
-0.016853266	-0.008293508
-0.032291166	0.00064041
-0.01907025	-0.010296101
-0.038660717	0.000646621
-0.026422448	0.003870973
-0.016532782	-0.008406128
-0.028249236	0.005827145
-0.059011532	0
-0.008323747	-0.006476707
-0.012617013	-0.00130039
-0.005659011	-0.00065083
-0.013809791	-0.003913899
-0.007459955	0.003913899
-0.014353755	0.002600782
-0.003682366	-0.00847739
0.000983309	-0.001966569
0.008319108	0.000655953
0.005103888	-0.01121014
0.001211363	-0.004652717
-0.001696329	-0.012064489
0.004114782	-0.002700879
-0.003629816	0.010090903
-0.008032221	-0.006042314
-0.007604526	0
-0.007166743	-0.008792752
0.004701184	-0.004766778
0.007133249	0.007480484
